Index,Song,Lyrics
0,"""Welcome to the Circus"" by Five Finger Death Punch:
    15 ContributorsWelcome to the Circus Lyrics[Intro]
    Welcome to the circus
    
    [Verse 1]
    Welcome to the s...","Welcome to the circus

[Verse 1]
Welcome to the shit show
Just another freak show
Hang your hat and hate at the door
It's a game of torture
Souls are made to order
Everything you wanted and more

[Pre-Chorus 1]
You've gotta kill somebody to thrill somebody
Everybody's gotta reason to bleed
You've gotta fuck somebody to know somebody
That motherfucker ain't me

[Chorus]
Am I the only one
That doesn't buy into the lies?
Am I the only one
That doesn't wear a disguise?
'Cause if I can't break it
And I can't change it
Then tell me, how will I know? (Tell me, how will I?)
Am I the only one
That isn't just here for the show?
Welcome to the circus
You might also like[Verse 2]
Grab your favorite stones
They came for broken bones
That's what happens when you sign on the line
There's no need for excuses
Everybody loses
Only way you'll ever win is to die

[Pre-Chorus 2]
You've gotta burn somebody to learn somebody
Everybody's got a Jekyll and Hyde
You gotta curse somebody to hurt somebody
Everybody needs a reason to die

[Chorus]
Am I the only one
That doesn't buy into the lies?
Am I the only one
That doesn't wear a disguise?
'Cause if I can't break it
And I can't change it
Then tell me, how will I know? (Tell me, how will I?)
Am I the only one
That isn't just here for the show?
Welcome to the circus
[Bridge]
You gotta hide your face
(Sell them what they bought 'cha)
(Teach them what they taught 'cha)
You gotta hide your veins
(This is how they gut 'cha)
(Right before they cut ya)
You gotta hide your pain
(Ugly how they rule you)
(That's just how they screw you)
You gotta hide your rage
(Everyone has earned this)
(Welcome to the circus)

[Post-Bridge]
Ticky, ticky, tasket
Time to burn the casket
Time to burn this motherfucker down

[Chorus]
Am I the only one
That doesn't buy into the lies?
Am I the only one
That doesn't wear a disguise? (Doesn't wear a disguise)
'Cause if I can't break it
And I can't change it
Then tell me, how will I know? (Tell me, how will I?)
Am I the only one
That isn't just here for the show? (Not just here for the—)
[Outro]
Am I
Tell me, how will I know? (Tell me, how will I?)
Am I the only one
That isn't just here for the show?
Welcome to the circusEmbed"
1,"""AfterLife"" by Five Finger Death Punch:
    10 ContributorsAfterLife Lyrics[Verse 1]
    I've heard the rumors that the rumors all were true
    They ma...","I've heard the rumors that the rumors all were true
They may be looking for me (They may be looking for me)
But they're coming for you (But they're coming for you)
I'll paint a picture you can better understand
They promise diamonds (They promise diamonds)
But they pay in sand

[Pre-Chorus]
It goes on and on and on and on and on
It's an old, broken record stuck on the same song
It goes on and on and on and on and on
You all know it's wrong, but you're singing along

[Chorus]
(I don't wanna wait)
I don't wanna wait for heaven to change me
I don't wanna have to wait for the fall
(I don't wanna wait)
I don't wanna wait for heaven to change things
I don't wanna wait, I don't wanna wait
(I don't wanna wait)
I don't wanna wait for hеaven to change this
I don't wanna have to fall on thе knife
(I don't wanna wait)
Forever after, this disaster
Bring the AfterLife
You might also like[Verse 2]
You'd cut your nose off just to spite your fuckin' face
That's who you are (That's who you are)
You know your place (You know your place)
You let them lead you by the throat with broken hands
So how's the view beneath their shoe (and what's your plan?)

[Pre-Chorus]
It goes on and on and on and on and on
It's an old, broken record stuck on the same song
It goes on and on and on and on and on
We all know it's wrong, but we're singing along

[Chorus]
(I don't wanna wait)
I don't wanna wait for heaven to change me
I don't wanna have to wait for the fall
(I don't wanna wait)
I don't wanna wait for heaven to change things
I don't wanna wait, I don't wanna wait
(I don't wanna wait)
I don't wanna wait for heaven to change this
I don't wanna have to fall on the knife
(I don't wanna wait)
Forever after, this disaster
Bring the AfterLife
[Instrumental Break]

[Bridge]
I don't wanna wait for heaven to change me
I don't wanna wait (I don't wanna wait)
I don't wanna wait for heaven (heaven)
I don't wanna wait
I don't wanna wait
I don't wanna wait for heaven to save us
I don't wanna wait (I don't wanna wait)
I don't wait for heaven to save us
I don't wanna wait
I don't wanna wait

[Chorus]
(I don't wanna wait)
I don't wanna wait for heaven to change me
I don't wanna have to wait for the fall
(I don't wanna wait)
I don't wanna wait for heaven to change things
I don't wanna wait, I don't wanna wait
(I don't wanna wait)
I don't wanna wait for heaven to change this
I don't wanna have to fall on the knife
(I don't wanna wait)
Forever after, this disaster
Bring the AfterLife
Bring the AfterLife1Embed"
2,"""Times Like These"" by Five Finger Death Punch:
    7 ContributorsTimes Like These Lyrics[Verse 1]
    It's nights like this under a harvest moon
    It came to...","It's nights like this under a harvest moon
It came too fast, and it's gone too soon
A wilted rose and a frozen tomb
A memory for the wind, anyway

[Verse 2]
Has anybody noticed that the sky is falling?
Are we all just happy in the rain?
Am I the only one who hears the sirens calling?
Am I the only one who feels the pain?

[Chorus]
It's times like these
When the sorrow shadows all the laughter
Times like these
When the hurt goes on and on forever
Times like these
I wanna fade away

[Verse 3]
I read all the pages from left to right
I took one in the morning and one at night
A fire still burns, but it's cold inside
It's all that I can do, anyway
You might also like[Verse 4]
No one wants to talk about the end is coming
Pointing fingers, handing out the blame
If I gave you answers to all your questions
Could you change or would you stay the same?

[Chorus]
'Cause it's times like these
When left is right and forwards, backwards
Times like these
When days and nights just roll together
Times like these
I wanna fade away

[Tag]
Fade away
Fade away

[Bridge]
Times like these (These)
I wanna fade away (Fade away)
In times like these (Like these)
Times like these

[Chorus]
'Cause it's times like these
When the sorrow shadows all the laughter
It's times like these
When it seems like nothing worse can happen
Times like these, it's times like these
I wanna fade away
[Outro]
It's times like these (Like these)
I wanna fade away (Fade away)
It's time like these (Like these)
In times like theseEmbed"
3,"""Roll Dem Bones"" by Five Finger Death Punch:
    7 ContributorsRoll Dem Bones Lyrics[Intro]
    This will be the last tear I shed for you
    
    [Verse 1]
    Some...","This will be the last tear I shed for you

[Verse 1]
Some say they kill for God
And some kill for sport
The only difference makes no difference to me
It just depends on what looks better in court
'Cause it's a knock-down, drag-out
""Everybody bow down""
Sick and twisted game that you play
There are no resolutions
In the broken institutions
Or the funny bloody money you crave

[Pre-Chorus]
This is the last tear
This is the last time

[Chorus]
There was a time that I believed
I could've changed it all
Somebody got to me
Somebody's got to pay
There was a time that I believed
I could've changed the world
Now I can't, now I don't, now I won't
So, roll dem bones
You might also like[Verse 2]
Puff your chest out at me
Just what the fuck were you thinking?
I wrote the book on that shit
Bound it, backed it, burned it all down
I'm a bully-beating reaper
Cheating supervillain, king of heathens
Everything you know that you're not
You're like a half-wit parlor trick
No one ever gave a shit
I'm laughing on the day that you drop

[Pre-Chorus]
This is the last tear
This is the last time

[Chorus]
There was a time that I believed
I could've changed it all
Somebody got to me
Somebody's got to pay
There was a time that I believed
I could've changed the world
Now I can't, now I don't, now I won't
So, roll dem bones
[Instrumental Break]

[Pre-Chorus]
This is the last tear
This is the last time

[Chorus]
There was a time that I believed
I could've changed it all
Somebody got to me
Somebody's got to pay
There was a time that I believed
I could've changed the world
Now I can't, now I don't, now I won't
So, roll dem bones
Roll dem bonesEmbed"
4,"""Pick Up Behind You"" by Five Finger Death Punch:
    5 ContributorsPick Up Behind You Lyrics[Verse 1]
    Do you remember when you said this wasn't real?
    Lif...","Do you remember when you said this wasn't real?
Life was just a game we played, and time was made to kill
Do you remember when you said we'd never laughed?
You set me up for failure, then you threw me in the trash

[Chorus]
I've forgotten how heavy you are
You're becoming so hard to hold on to
No matter how far or how hard you fall
I'll be there to pick up behind you

[Verse 2]
""Do you remember how the pulse felt in my chest?
Or did you simply block it out, erase it like the rest?
Do you remember how your heart would never change?""
You told me as you turned away and left me with the pain

[Chorus]
I've forgotten how heavy you are
You're becoming so hard to hold on to
No matter how far or how hard you fall
I'll be there to pick up behind you

[Instrumental Break]
You might also like[Chorus]
I've forgotten how heavy you are
You're becoming too hard to hold on to
No matter how far or how hard you fall
I'll be there to pick up behind you

[Chorus]
I've forgotten how heavy you are (Heavy you are)
You're becoming so hard to hold on to
No matter how far or how hard you fall
I'll be there to pick up behind youEmbed"
5,"""Judgment Day"" by Five Finger Death Punch:
    8 ContributorsJudgment Day Lyrics[Intro]
    La-hah, laaa-hah, la-hah, la-hah-ahhh
    La-hah, laaa-hah, la-...","La-hah, laaa-hah, la-hah, la-hah-ahhh
La-hah, laaa-hah, la-hah, la-hah-ahhh

[Verse 1]
You gotta watch for the shot
Beware the ricochet
Dance, dance, motherfucker
Till the fat bitch sings
You get one for the chamber
Two for good health
Know a little about evil
And a lot about hell

[Verse 2]
Playing ring around the daisies
With a shotgun shell
If you're gonna take a life
Better keep it to yourself
Seems every time I think
There's just a little bit of hope
Someone comes out swinging
With a deadman's rope

[Pre-Chorus]
Damned if I do
Damned if I don't
Damned if I will
Damned if I won't
Doomed if I try
Doomed if I fail
Damn you all to hell
You might also like[Chorus]
I'm no angel, I'm no savior
And I've never been a saint
Well, I know I'm not the devil
'Cause I still can feel the pain
Walk through fire and through brimstone
And there were no pearly gates
I'll be sure to ask about it
On my final Judgement Day
Judgement Day

[Verse 3]
Two tears in a bucket
One down the drain
Dance, dance, motherfucker
Till the war drums play
I know a little 'bout death
A lot about pain
I ain't ever seen a storm
That don't end in rain

[Verse 4]
Gotta pay the pied piper
Every dog will have its day
I don't stress the mess
'Cause it's all so cliché
You can run around in circles
But it always ends the same
You'll be swinging from the end
Of a deadman's chain
[Pre-Chorus]
Doomed if I do
Doomed if I don't
Doomed if I will
Doomed if I won't
Damned if I try
Damned if I fail
God damn you all to hell

[Chorus]
I'm no angel, I'm no savior
And I've never been a saint
Well, I know I'm not the devil
'Cause I still can feel the pain
Walk through fire and through brimstone
And there were no pearly gates
I'll be sure to ask about it
On my final Judgement Day
Judgement Day

[Reprise]
La-hah, laaa-hah, la-hah, la-hah-ahhh
My final Judgement Day
La-hah, laaa-hah, la-hah, la-hah-ahhh

[Bridge]
Watch for the shot
Watch for the shot
Motherfucker
Watch for the shot
Beware the ricochet
Watch for the shot
[Chorus]
I'm no angel, I'm no savior
And I've never been a saint
Well, I know I'm not the devil
'Cause I still can feel the pain
Walk through fire and through brimstone
And there were no pearly gates
I'll be sure to ask about it
On my final Judgement Day

[Post-Chorus]
In my final resting place
When I finally found my grace
I'll be sure to ask about it
On my final Judgement Day
My final Judgement Day

[Outro]
La-hah, laaa-hah, la-hah, la-hah-ahhh
My final Judgement Day
La-hah, laaa-hah, la-hah, la-hah-ahhh
My final Judgement Day
La-hah, laaa-hah, la-hah, la-hah-ahhh
My final Judgement DayEmbed"
6,"""IOU"" by Five Finger Death Punch:
    13 ContributorsIOU Lyrics[Intro]
    I wish someone would wake me
    'Cause I can't sleep at all
    Stuck in p...","I wish someone would wake me
'Cause I can't sleep at all
Stuck in purgatory
Waiting for the fall
Auditioned all the endings
I find it hard to tell
Is it better to serve in heaven
Or better to reign in hell?

[Verse 1]
Say my name
And watch the fire grow
Curse my name
A demon gets its horns
See my face
The one behind my eyes
I'm a son of a bitch, I'm as bad as it gets
And I'll be that till I die

[Pre-Chorus]
I wish someone would wake me
'Cause I can't sleep at all
Stuck in purgatory
Waiting for the fall
Auditioned all the endings
I find it hard to tell
Is it better to serve in heaven
Or better to reign in hell?
You might also like[Chorus]
You've never known pain before
Cain before
But I'm gonna show you
You've never been drained before
Shamed before
But I'd love to share
You've never known insane before
Deranged before
I'm here to show you
I owe you nothing

[Verse 2]
Feel my pain (Pain)
I bet you can't relate
Know my rage (Rage)
The one you instigate
Hate this place (Place)
The one in which you hide
The devil I know or the devil I don't
I just can't pick a side

[Pre-Chorus]
I wish someone would wake me
'Cause I can't sleep at all
Stuck in purgatory
Waiting for the fall
Auditioned all the endings
I find it hard to tell
Is it better to serve in heaven
Or better to reign in hell?
[Chorus]
You've never known pain before
Cain before
But I'm gonna show you
You've never been drained before
Shamed before
But I'd love to share
You've never known insane before
Deranged before
I'm here to show you
I owe you nothing

[Instrumental Break]

[Bridge]
I wish someone would wake me
Wake me up, wake me up, up
I wish someone would wake me
Wake me up, wake me up, up
I wish someone would wake me
Wake me up, wake me up, up
I wish someone would wake me
Wake me up, wake me up, fuck you

[Chorus]
You've never known pain before
Cain before
But I'm gonna show you
You've never been drained before
Shamed before
But I'd love to share
You've never known insane before
Deranged before
I'm here to show you
I owe you absolutely nothing
[Outro]
I owe you nothing1Embed"
7,"""Thanks for Asking"" by Five Finger Death Punch:
    6 ContributorsThanks for Asking Lyrics[Verse 1]
    'Cause I'm all right
    Thanks for asking
    There's a mil...","'Cause I'm all right
Thanks for asking
There's a million things I'd love to say
But you don't want to hear
Yeah, it's all right
I don't need your blessings
I'd rather face the wrath of angels
Than the devil in the mirror

[Chorus]
I don't think God is listening
She told us to follow but left us behind
I've never seen an angel
But I know the devil, and he told me I'm fine

[Verse 2]
""What doesn't kill you will only make you stronger""
That's what everyone keeps telling me
I'd rather capsize than chase an old horizon
Throw me back into the deadest of sеas

[Chorus]
I know that God is laughing
She gave us our wings but nevеr taught us to fly
They say the end is coming
And if that's true, well, I don't think I mind
You might also like[Bridge]
I always knew it would come to this
Heaven or hell, I can't tell which is which
I always knew it would come to this
Heaven or hell, I can't tell which is which
Tell which is which

[Chorus 1]
I don't think God is listening
She told us to follow but left us behind
I've never seen an angel
But I know the devil, and he told me I'm fine

[Chorus 2]
I know that God is laughing
She gave us our wings but never taught us to fly
They say the end is coming
And if that's true, well, I don't think I mind

[Outro]
Roll, roll, roll
Keep on moving ahead
Roll, roll, roll
Guess I'll sleep when I'm deadEmbed"
8,"""Blood and Tar"" by Five Finger Death Punch:
    4 ContributorsBlood and Tar Lyrics[Verse 1]
    Peel away the skin that hides your face
    Show me who you ...","Peel away the skin that hides your face
Show me who you really are
Underneath that broken smile you wear
You're twisted, ugly, and bizarre (Just like me)

[Pre-Chorus]
I’m tired of pretending that this isn't ending
I'm not sure which side of you I fear the most

[Chorus]
""Enemy,"" that is the tag you gave me
I guess that makes me your favorite scar
Enemy, you pushed until I’m broken
I'm what you made me:
A badge of blood and tar

[Verse 2]
Crash and burn, you'd think you'd learn
It's almost like you love the pain
If you can't have it, then no one will
You're narcissistic and deranged (Just like me)

[Pre-Chorus]
There's so much deception that we’ve lost reception
I’m not sure which part of you I hate the most
You might also like[Chorus]
""Enemy,"" that is the tag you gave me
I guess that makes me your favorite scar
Enemy, you pushed until I'm broken
I’m what you made me:
A badge of blood and tar

[Instrumental Break]

[Bridge]
When we remember we are all mad
The mysteries disappear and life stands explained

[Chorus]
""Enemy,"" that is the tag you gave me
I guess that makes me your favorite scar
Enemy, you pushed until I'm broken
I'm what you made me:
A badge of blood and tarEmbed"
9,"""All I Know"" by Five Finger Death Punch:
    8 ContributorsAll I Know Lyrics[Whistled Intro]
    Da-da, da-da-da, da-da
    Da-da, da-da-da, da
    Da-da, da...","Da-da, da-da-da, da-da
Da-da, da-da-da, da
Da-da, da-da-da, da-da-da-da
Da-da, da-da-da, da

[Verse 1]
I don't think that I'm crazy
Yeah, but how would I know?
When the voices remind me
That it's all just for show
Well, I thought I had answers
But the questions have changed
It's so hard to feel anything
When I've only known pain (Pain)
Pain

[Chorus]
You can cast me out and
Dig my hole
Spit on my grave
Curse my soul
You can hold me down and
Not let go
But the devil you fear
Is all I know
Da-da, da-da-da, da-da
Da-da, da-da-da, da
Da-da, da-da-da, da-da-da-da
Da-da, da-da-da, da
You might also like[Verse 2]
And the road that's less traveled
Well, it's all that I've known
Every time I look backwards
There's still so far to go
If I'm born to be broken
Cold, bloody, and numb
Tell me, why am I runnin'?
What am I running from? (From)
From

[Chorus]
You can cast me out and
Dig my hole
Spit on my grave
Curse my soul
You can hold me down and
Not let go
But the devil you fear
Is all I've ever, all I've ever, all I've ever known

[Instrumental Break]

[Bridge]
As I sit here in silence
All alone in myself
Who the hell would believe me?
Better yet, who'd I tell?
I can tell
[Chorus]
You can cast me out and
Dig my hole
Spit on my grave
Curse my soul
You can hold me down and
Not let go
But the devil you fear
Is all I've known

[Whistled Outro]Embed"
