Index,text,likesCount
58,"Linda Wright Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
59,"Linda Wright 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
60,"Monique Salerno Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
61,"Monique Salerno 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
62,"Monique Salerno Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹",0
63,"Letitia 'Teecee Bunny' Greene Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
64,"Letitia 'Teecee Bunny' Greene 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
65,"Dev P Degges 😍I'm always happy to see what you share here on Facebook, but we're not friends yet, I've tried sending you a request several times but it doesn't go through. I would be so happy if you can just click on my profile and send me a request, but if you find this message embarrassing, please forgive my manners, have a safe day,thank you and stay blessed 🌹🌺💙",0
66,"Dev P Degges I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners🙏🌹🌹....Thank you",0
67,"Dev P Degges Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
68,"Dev P Degges God answers our prayers In different ways, GOD change my life for good  through binary option trade  with the help of Mr George Paltan, His trading techniques are so unique ...Click the link below to contact Him and change your financial status
📥📥📥
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
69,"Tina Little Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
70,"Tina Little 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
71,"Linda Keefer Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",1
72,"Linda Keefer 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",1
73,Linda Keefer Why,0
74,"Linda Keefer Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹",2
75,"Linda Keefer You look so beautiful. You have the best smile only the chief of Angels has which  means you of all the angels around the world🌹😊 I'm sorry for invading your privacy  I will love to know you more, Kindly send me a Friend request. If you happen to find this message embarrassing, please pardon my manners... Thank you😔😔",1
76,"Allen Gillis Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message",0
77,"Jane Berg Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
78,"Jane Berg 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
79,"Nicole O'Brien Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
80,"Nicole O'Brien 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
81,"Joel Gladstein Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
82,"Joel Gladstein God answers our prayers In different ways, GOD change my life for good  through binary option trade  with the help of Mr George Paltan, His trading techniques are so unique ...Click the link below to contact Him and change your financial status
📥📥📥
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
83,"Jessie Lanier-Luckey Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
84,"Jessie Lanier-Luckey God answers our prayers In different ways, GOD change my life for good  through binary option trade  with the help of Mr George Paltan, His trading techniques are so unique ...Click the link below to contact Him and change your financial status
📥📥📥
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
85,"Jessie Lanier-Luckey Apologies for dropping this here but it feels too great to visit your timeline,🌹🌹 I always enjoy what you share here on Facebook but we're not friends yet🌹🌹 I have tried several times to send the friend request but it's not going. Do you mind trying from your side? I will be happy to be friends with you. If you find this message embarrassing please pardon my manners Thank you🌹",0
86,"Rose M Banks Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
87,"Rose M Banks 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
88,"Linda Kierstein Hey, you seem like a cool person. Your heart is kind and pure, and I'm sure those around you will appreciate your kindness. It can be difficult at time's, but dont let the chaos and darkness of the world spoil your goodness. I’m pretty new to this whole online thing and wasn’t sure how to start a conversation, so I thought I would just say hi. I hope you don’t mind. Anyway, I’m a big fan of the outdoors, I like to hike, camp and swim. I’m a bit of a fitness nut and am always trying to do something active. I’d love to hear what you like to do for fun! If you don't mind, you can send me a request, or send me a driect message",0
89,Linda Kierstein .That special smile on your face always keep it up because that make you beautiful. can I ask you a question?,0
90,"Linda Kierstein Hello Linda 
How're you doing, sorry to ask where're you writing from?",0
91,"Linda Kierstein Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
92,"Linda Kierstein 
Hello, Sorry for the way of contacting, I just saw your profile and thought you were the right person, my name is Sandra Jones, I'm from France.  I suffer from a serious illness that will be conscious of death, it is a throat and there is an amount of €900,000, which I would like to offer to a reliable and honest man to use it well.  I have an import of red oil in my company in France and I have been plundering my husband for 6 years, which is very affected and until now I have not been able to recover, but our children have not  summer.  I would like to offer this amount before my death as my days to count because I miss this disease for which I had no cure.  If you would like to benefit from the €900,000 so that I no longer lose this money 💰 contact me on WhatsApp through this link 👉🏻👉🏻https://wa.me/message/V6PJGZDDOJVBK1",0
93,"Rose Price Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
94,"Rose Price  Hello...... your post are wonderful but I don't think we're friends here in Facebook,if you don't mind can you please kindly add me too as your friend 🙏 I'm tried adding you to mine but us not going through,I will be really glad if I can get a reply from you but then I'm sorry to have  invaded your privacy please accept my apology.thank you",0
95,"Elvis Wilson please don’t send me things like this. 
Thanks!",0
96,"Rose Price 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0
97,"Michael Barnard Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0
98,"Michael Barnard I’m proud to serve the United state…I actually love this post and your comment,you deserve my comment for saying such,I found you interesting and also clever ,but tried sending you a friend request but I couldn’t 😏😒I will be so glad if you can send me a friend request here on Facebook ,I still stand for the flag 🇺🇸",0
